company_name,country,ceo,company_email,company_contact_page,company_phone,ceo_email,ceo_phone,cofounder,cofounder_email,cofounder_phone
1875 Finance,"Switzerland, Europe",,,,,,,,,
81 Family Office,"Italy, Europe",,,,,,,,,
ACT Asset Management AG,"Switzerland, Europe",,,,,,,,,
ATTENTIUM AG,"Germany, Europe",,,,,,,,,
Agami Family Office,"France, Europe",,,,,,,,,
Allconsult Ackermans Family Office,"Germany, Europe",,,,,,,,,
Alpha Blue Ocean,"France, Europe",,,,,,,,,
Alvarium Investments,"United Kingdom, Europe",,,,,,,,,
Amadeus Capital SA,"Switzerland, Europe",,,,,,,,,
Andersen Charnley Investment Management Ltd,"United Kingdom, Europe",,,,,,,,,
Apricus Finance SA,"Switzerland, Europe",,,,,,,,,
Artorius Wealth Management,"United Kingdom, Europe",,,,,,,,,
Ascot Lloyd Financial Services,"United Kingdom, Europe",,,,,,,,,
BKS Family Office,"Jersey, Europe",,,,,,,,,
BONOPlus Family Office,"Italy, Europe",,,,,,,,,
Belvedere Asset Management,"Switzerland, Europe",,,,,,,,,
Black Oak Family Office SA,"Switzerland, Europe",,,,,,,,,
Brewin Dolphin,"United Kingdom, Europe",,,,,,,,,
Bruellan Wealth Management,"Switzerland, Europe",,,,,,,,,
Burguimexis,"Portugal, Europe",,,,,,,,,
Capicura Partners AG,"Switzerland, Europe",,,,,,,,,
Carduus Wealth Advisors,"Switzerland, Europe",,,,,,,,,
Carnegie Kapitalförvaltning AB,"Sweden, Europe",,,,,,,,,
Cherry Bay Capital Group,"Monaco, Europe",,,,,,,,,
Clerville Investment Management,"United Kingdom, Europe",,,,,,,,,
Connectum Capital Management,"Norway, Europe",,,,,,,,,
Corecam Investment Group,"Switzerland, Europe",,,,,,,,,
Cottonfield Family Office AG,"Switzerland, Europe",,,,,,,,,
Crescendo Capital SA,"Switzerland, Europe",,,,,,,,,
Crossbridge Capital,"United Kingdom, Europe",,,,,,,,,
Crossinvest S.A.,"Switzerland, Europe",,,,,,,,,
Deacon Capital Asset Management,"United Kingdom, Europe",,,,,,,,,
Delfin Private Office,"United Kingdom, Europe",,,,,,,,,
Delmore Asset Management Ltd.,"United Kingdom, Europe",,,,,,,,,
Dynawealth Management,"Switzerland, Europe",,,,,,,,,
Ehinger & Cie,"Switzerland, Europe",,,,,,,,,
FNZ Group,"United Kingdom, Europe",,,,,,,,,
FOCAM AG,"Germany, Europe",,,,,,,,,
Factum AG,"Liechtenstein, Europe",,,,,,,,,
Ferguson Partners Family Office,"United Kingdom, Europe",,,,,,,,,
Feri Wealth Management GmbH,"Germany, Europe",,,,,,,,,
